Song Name	Chroma 'Heavenly' Mashup [EXTENDED CUT] by Chroma (Arranged by CosmosGalaxies & iiJohn0)
Difficulty	26
Primary Color	Rush
Secondary Color	Rush
Last Note Time	333.712
Total Notes	2749
Fever Fill	757
Fever Time	50.056800
Long Notes	478
BPM	178
Song Length	336.732494331

Timing Points
9.055	333.3333
9.055	333.3333
54.564	400.0000
54.564	400.0000
55.005	400.0000
55.005	333.3333
55.251	333.3333
55.251	333.3333
62.072	333.3333
62.072	333.3333
71.405	333.3333
71.405	384.6154
72.655	333.3333
72.655	333.3333
72.805	384.6154
72.805	384.6154
76.330	384.6154
76.330	461.5385
77.253	400.0000
77.253	400.0000
79.655	400.0000
79.655	400.0000
118.255	400.0000
118.255	400.0000
131.029	278.4223
131.029	278.4223
135.483	279.1996
135.483	279.1996
182.389	295.9412
182.389	295.9412
192.134	295.9412
192.134	315.7895
194.060	308.8962
194.060	308.8962
215.082	308.8962
215.082	328.6681
234.473	328.6681
234.473	324.6665
235.122	328.6681
235.122	328.6681
235.780	315.7895
235.780	315.7895
236.250	272.7273
236.250	272.7273
237.134	256.4103
237.134	256.4103
237.781	256.4103
237.781	308.1664
238.397	308.1664
238.397	308.1664
275.077	308.1664
275.077	294.4063
277.128	338.9831
277.142	338.9831
282.113	338.9831
282.113	270.2703
282.180	284.3602
282.180	284.3602
282.251	300.0000
282.251	300.0000
282.326	300.0000
282.326	317.4603
282.405	352.9412
282.405	352.9412
282.493	352.9412
282.493	461.5385
282.608	500.0000
282.608	500.0000
282.733	500.0000
282.733	750.0000
282.920	750.0000
282.920	1200.0000
283.220	1200.0000
283.220	1578.9474
285.443	328.6681
285.443	328.6681
287.442	586.7971
287.442	586.7971
288.028	487.8049
288.028	487.8049
289.979	650.4065
289.979	650.4065
290.629	355.0296
290.629	355.0296
292.508	355.0296
292.508	464.2166
292.976	464.2166
292.976	571.4286
293.356	571.4286
293.356	609.1371
293.813	466.9261
293.813	466.9261
293.923	466.9261
293.923	466.9261
294.103	466.9261
294.103	466.9261
294.478	519.4805
294.478	519.4805
294.998	428.5714
294.998	428.5714
295.245	428.5714
295.245	472.4409
295.717	472.4409
295.717	333.3333
296.064	504.2017
296.064	504.2017
296.568	545.4545
296.568	545.4545
296.828	591.1330
296.828	591.1330
297.420	300.0000
297.420	300.0000
297.679	446.0967
297.679	446.0967
297.901	333.3333
297.901	333.3333
298.037	410.9589
298.037	410.9589
298.241	571.4286
298.241	571.4286
298.383	240.0000
298.383	240.0000
298.711	260.8696
298.713	260.8696
307.315	441.1765
307.315	441.1765
307.904	441.1765
307.904	441.1765


Song Data
6.388	1	4	2
7.055	2	1	1
7.055	3	4	3
7.221	4	2	1
7.388	5	3	1
7.555	6	4	1
7.721	7	1	1
7.888	8	2	1
8.055	9	3	1
8.221	10	4	1
8.388	11	1	1
8.555	12	2	1
8.721	13	3	1
8.888	14	4	1
9.055	15	1	1
9.221	16	2	1
9.388	17	3	1
9.555	18	4	1
9.721	19	1	1
9.888	20	2	1
10.054	21	3	1
10.221	22	4	1
10.388	23	1	1
10.554	24	2	1
10.721	25	3	1
10.888	26	4	1
11.054	27	1	2
11.554	28	1	3
11.721	29	2	2
11.721	30	3	1
11.721	31	4	1
12.054	32	3	2
12.054	33	2	3
12.388	34	1	1
12.388	35	4	2
12.388	36	3	3
12.721	37	2	2
12.721	38	4	3
12.888	39	3	1
13.054	40	1	2
13.054	41	4	1
13.054	42	2	3
13.388	43	2	1
13.721	44	3	1
13.721	45	4	1
13.721	46	1	3
13.888	47	2	2
14.054	48	3	2
14.054	49	2	3
14.221	50	4	2
14.221	51	3	3
14.388	52	1	1
14.388	53	4	3
14.471	54	2	1
14.554	55	3	2
14.721	56	1	2
14.721	57	3	3
15.054	58	3	1
15.054	59	4	1
15.554	60	2	1
15.721	61	3	1
15.721	62	4	1
16.054	63	3	1
16.388	64	2	1
16.388	65	4	1
16.721	66	4	1
17.054	67	2	2
17.054	68	3	1
